"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1839523166215139597","Fri Sep 27 16:16:59 +0000 2024","4","@tekarok007 Bikin kaos tulisan buat branding mas Gibran fufufafa adalah kita ...atau kalo gue fufufafa..masalah buat loo?..atau kaum fufufafa ..sebagai counter..dipake rame2 mendukung Gibran","1839700774722621612","","tekarok007","in","","0","3","0","https://x.com/NisyaUmmi/status/1839700774722621612","1730869546796601344","NisyaUmmi"
"1839569019776729375","Fri Sep 27 15:45:16 +0000 2024","0","@PartaiSocmed Wartawan media @pikiran_rakyat bodohnya bisa nyundul langit. Pasti digantilah. Kyai Ma'ruf Aamin sama yg baru yaitu Mas @gibran_tweet. Duh !","1839692795596136916","","PartaiSocmed","in","Cianjur, Indonesia","0","0","0","https://x.com/AbdiKabayan/status/1839692795596136916","1641854669139111936","AbdiKabayan"
"1839495302782628048","Fri Sep 27 15:20:52 +0000 2024","0","@Heraloebss Kalau haji Prabowo mau nyalon lagi di 2029 mas haji Gibran ini harus di-MakrupAmin-kan.Karena modelan ky gini gak akan puas hanya sebagai wapres.Dan ketika Gibran nyapres dan haji Memed/Rudi Valinka mendukungnya mereka pasti akan memfitnah Prabowo sbg penculik lg ","1839686651804606632","","Heraloebss","in","","0","0","0","https://x.com/GybrantR53927/status/1839686651804606632","1744702724258643968","GybrantR53927"
"1839492321777438973","Fri Sep 27 15:09:41 +0000 2024","0","@PartaiSocmed Ternyata anak Abah tidak bisa memahami apa yg di ketik ketum @PartaiSocmed . Yaiyalah di ganti dari pa maruf amin jadi mas Gibran. Wkwkwkwk anak Abah ternyata pada beg* ","1839683838479597683","","PartaiSocmed","in","","0","0","0","https://x.com/arma_nmaulana/status/1839683838479597683","1244130172854349825","arma_nmaulana"
"1839088399699030389","Fri Sep 27 14:38:36 +0000 2024","3","@Dargomb33306384 @Cak_Kancil007 @H1m4_W4r1 @JoeSamsung6 @JhonSitorus_18 @jokowi @gibran_tweet @kaesangp @bobbynasution_ @StefanAntonio__ @DS_yantie @_sekarkinanthi_ @EviDrajat @Bams_4GP @ChainsawSimple @bawa_santai_aja @8_FERRY_8 @KangManto123 @veraagustian_ @feroferraferri @bengkeldodo @paman_samsul @mas_veel @PartBurungGalak @psi_id @Dennysiregar7 @TrisiyoWong @Bambangmulyonoo @Uki23 @Duren___ @DedynurPalakka @grace_nat @RajaJuliAntoni @CherylTanzil @Ghurem2 @KaesangP_ @PreciosaKanti @fadjroeL @islah_bahrawi @Beritasatu @jakpost @okezonenews @TonightShow_NET @jawapos @Google @g4b0ng0ku73 Sedih amat baca istilah2 ini... Itu gelar beneran ? ","1839676014810779674","","Dargomb33306384","in","south of saudi arabia area","0","1","0","https://x.com/TutupG56821/status/1839676014810779674","1749701641912340480","TutupG56821"
"1839578046518722958","Fri Sep 27 13:57:28 +0000 2024","1","@DedynurPalakka @gibran_tweet padahal pak @prabowo sudah memaafkan mas @gibran_tweet lho","1839665665382478251","","DedynurPalakka","in","Sidoarjo, Indonesia","0","0","0","https://x.com/andiebs/status/1839665665382478251","61409699","andiebs"
"1839157174913871988","Fri Sep 27 13:48:45 +0000 2024","1","@Ber_uang08 @DedynurPalakka @gtobing2903 @prabowo @gibran_tweet @Kimberley_PS08 @mas_veel @florieliciouss @BANGSAygSUJUD @are_inismyname @DarekaRendy @drReUtari08 @Epricila10 @FDonghun @bengkeldodo Menemukan? Bagaimana dg palu paman MK ttg batas usia maksimal pencalonan ?","1839663472013144101","","Ber_uang08","in","","0","0","0","https://x.com/djokosoeloyo/status/1839663472013144101","90163588","djokosoeloyo"
"1839583238240805117","Fri Sep 27 13:47:33 +0000 2024","0","@zy_zy_lestary @gibran_tweet @kaesangp @Ki_Nusantara99 @adri_7i @dika_maxelyou @IrwanResma48922 @YoYoAyo17845 mantap anak presiden @jokowi ini hanya mas @gibran_tweet lah yg berani menghina @prabowo dan dimaafkan...kalo @fadlizon udah dilempar hp https://t.co/i9EcrtDbcE","1839663169402466553","https://pbs.twimg.com/media/GYfL5ZWbYAANKhi.jpg","zy_zy_lestary","in","Sidoarjo, Indonesia","0","0","0","https://x.com/andiebs/status/1839663169402466553","61409699","andiebs"
"1839663145616626002","Fri Sep 27 13:47:27 +0000 2024","0","Sampe jadiin wallpaper di HP blackberry ","1839663145616626002","","","in","Giacarta","0","1","0","https://x.com/bagaksara/status/1839663145616626002","985531121554276353","bagaksara"
"1839647925712134252","Fri Sep 27 13:43:12 +0000 2024","0","@waluhrebus @geloraco @golkar_id @gibran_tweet Makanya tweet aku sengaja ingatkan tuh pasukan berani lapor mas Roy itu ahli di bidang IT gak mungkin polantas yg akan tanya dia pastinpolisi cyber juga rujukannya sama : ilmu pengetahuan malahbmskin terkuak se lebar²nya kalau berlanjut","1839662074869481697","","waluhrebus","in","indonesia","0","0","0","https://x.com/ballambinlove/status/1839662074869481697","114452217","ballambinlove"
